,Type,Maker,Model,Years,Sales
1028,HEV,Saturn,Aura,2001,0.0
1029,HEV,Saturn,Aura,2002,0.0
1030,HEV,Saturn,Aura,2003,0.0
1031,HEV,Saturn,Aura,2004,0.0
1032,HEV,Saturn,Aura,2005,0.0
1033,HEV,Saturn,Aura,2006,0.0
1034,HEV,Saturn,Aura,2007,772.0
1035,HEV,Saturn,Aura,2008,285.0
1036,HEV,Saturn,Aura,2009,527.0
1037,HEV,Saturn,Aura,2010,54.0
1038,HEV,Saturn,Aura,2011,0.0
1039,HEV,Saturn,Aura,2012,0.0
1040,HEV,Saturn,Aura,2013,0.0
1041,HEV,Saturn,Aura,2014,0.0
1042,HEV,Saturn,Aura,2015,0.0
1043,HEV,Saturn,Aura,2016,0.0
1044,HEV,Saturn,Aura,2017,0.0
1045,HEV,Saturn,Vue,1999,0.0
1046,HEV,Saturn,Vue,2000,0.0
1047,HEV,Saturn,Vue,2001,0.0
1048,HEV,Saturn,Vue,2002,0.0
1049,HEV,Saturn,Vue,2003,0.0
1050,HEV,Saturn,Vue,2004,0.0
1051,HEV,Saturn,Vue,2005,0.0
1052,HEV,Saturn,Vue,2006,0.0
1053,HEV,Saturn,Vue,2007,4403.0
1054,HEV,Saturn,Vue,2008,2920.0
1055,HEV,Saturn,Vue,2009,2656.0
1056,HEV,Saturn,Vue,2010,50.0
1057,HEV,Saturn,Vue,2011,0.0
1058,HEV,Saturn,Vue,2012,0.0
1059,HEV,Saturn,Vue,2013,0.0
1060,HEV,Saturn,Vue,2014,0.0
1061,HEV,Saturn,Vue,2015,0.0
1062,HEV,Saturn,Vue,2016,0.0
1063,HEV,Saturn,Vue,2017,0.0
1064,HEV,Subaru,XV Crosstrek,1999,0.0
1065,HEV,Subaru,XV Crosstrek,2000,0.0
1066,HEV,Subaru,XV Crosstrek,2001,0.0
1067,HEV,Subaru,XV Crosstrek,2002,0.0
1068,HEV,Subaru,XV Crosstrek,2003,0.0
1069,HEV,Subaru,XV Crosstrek,2004,0.0
1070,HEV,Subaru,XV Crosstrek,2005,0.0
1071,HEV,Subaru,XV Crosstrek,2006,0.0
1072,HEV,Subaru,XV Crosstrek,2007,0.0
1073,HEV,Subaru,XV Crosstrek,2008,0.0
1074,HEV,Subaru,XV Crosstrek,2009,0.0
1075,HEV,Subaru,XV Crosstrek,2010,0.0
1076,HEV,Subaru,XV Crosstrek,2011,0.0
1077,HEV,Subaru,XV Crosstrek,2012,0.0
1078,HEV,Subaru,XV Crosstrek,2013,0.0
1079,HEV,Subaru,XV Crosstrek,2014,7926.0
1080,HEV,Subaru,XV Crosstrek,2015,5589.0
1081,HEV,Subaru,XV Crosstrek,2016,2173.0
1082,HEV,Subaru,XV Crosstrek,2017,45.0
1083,HEV,Toyota,Avalon,1999,0.0
1084,HEV,Toyota,Avalon,2000,0.0
1085,HEV,Toyota,Avalon,2001,0.0
1086,HEV,Toyota,Avalon,2002,0.0
1087,HEV,Toyota,Avalon,2003,0.0
1088,HEV,Toyota,Avalon,2004,0.0
1089,HEV,Toyota,Avalon,2005,0.0
1090,HEV,Toyota,Avalon,2006,0.0
1091,HEV,Toyota,Avalon,2007,0.0
1092,HEV,Toyota,Avalon,2008,0.0
1093,HEV,Toyota,Avalon,2009,0.0
1094,HEV,Toyota,Avalon,2010,0.0
1095,HEV,Toyota,Avalon,2011,0.0
1096,HEV,Toyota,Avalon,2012,747.0
1097,HEV,Toyota,Avalon,2013,16468.0
1098,HEV,Toyota,Avalon,2014,17048.0
1099,HEV,Toyota,Avalon,2015,11956.0
1100,HEV,Toyota,Avalon,2016,8451.0
1101,HEV,Toyota,Avalon,2017,4990.0
1102,HEV,Toyota,Camry,1999,0.0
1103,HEV,Toyota,Camry,2000,0.0
1104,HEV,Toyota,Camry,2001,0.0
1105,HEV,Toyota,Camry,2002,0.0
1106,HEV,Toyota,Camry,2003,0.0
1107,HEV,Toyota,Camry,2004,0.0
1108,HEV,Toyota,Camry,2005,0.0
1109,HEV,Toyota,Camry,2006,31341.0
1110,HEV,Toyota,Camry,2007,54477.0
1111,HEV,Toyota,Camry,2008,46272.0
1112,HEV,Toyota,Camry,2009,22887.0
1113,HEV,Toyota,Camry,2010,14587.0
1114,HEV,Toyota,Camry,2011,9241.0
1115,HEV,Toyota,Camry,2012,45656.0
1116,HEV,Toyota,Camry,2013,44448.0
1117,HEV,Toyota,Camry,2014,39515.0
1118,HEV,Toyota,Camry,2015,30640.0
1119,HEV,Toyota,Camry,2016,22227.0
1120,HEV,Toyota,Camry,2017,20985.0
1121,HEV,Toyota,Highlander,1999,0.0
1122,HEV,Toyota,Highlander,2000,0.0
1123,HEV,Toyota,Highlander,2001,0.0
1124,HEV,Toyota,Highlander,2002,0.0
1125,HEV,Toyota,Highlander,2003,0.0
1126,HEV,Toyota,Highlander,2004,0.0
1127,HEV,Toyota,Highlander,2005,17989.0
1128,HEV,Toyota,Highlander,2006,31485.0
1129,HEV,Toyota,Highlander,2007,22052.0
1130,HEV,Toyota,Highlander,2008,19441.0
1131,HEV,Toyota,Highlander,2009,11086.0
1132,HEV,Toyota,Highlander,2010,7456.0
1133,HEV,Toyota,Highlander,2011,4549.0
1134,HEV,Toyota,Highlander,2012,5921.0
1135,HEV,Toyota,Highlander,2013,5070.0
1136,HEV,Toyota,Highlander,2014,3621.0
1137,HEV,Toyota,Highlander,2015,4015.0
1138,HEV,Toyota,Highlander,2016,5976.0
1139,HEV,Toyota,Highlander,2017,16864.0
1140,HEV,Toyota,Prius (Liftback),1999,0.0
1141,HEV,Toyota,Prius (Liftback),2000,5562.0
1142,HEV,Toyota,Prius (Liftback),2001,15556.0
1143,HEV,Toyota,Prius (Liftback),2002,20119.0
1144,HEV,Toyota,Prius (Liftback),2003,24600.0
1145,HEV,Toyota,Prius (Liftback),2004,53991.0
1146,HEV,Toyota,Prius (Liftback),2005,107897.0
1147,HEV,Toyota,Prius (Liftback),2006,106971.0
1148,HEV,Toyota,Prius (Liftback),2007,181221.0
1149,HEV,Toyota,Prius (Liftback),2008,158574.0
1150,HEV,Toyota,Prius (Liftback),2009,139682.0
1151,HEV,Toyota,Prius (Liftback),2010,140928.0
1152,HEV,Toyota,Prius (Liftback),2011,136481.0
1153,HEV,Toyota,Prius (Liftback),2012,164618.0
1154,HEV,Toyota,Prius (Liftback),2013,145172.0
1155,HEV,Toyota,Prius (Liftback),2014,122776.0
1156,HEV,Toyota,Prius (Liftback),2015,113829.0
1157,HEV,Toyota,Prius (Liftback),2016,98863.0
1158,HEV,Toyota,Prius (Liftback),2017,65630.0
1159,HEV,Toyota,Prius C,1999,0.0
1160,HEV,Toyota,Prius C,2000,0.0
1161,HEV,Toyota,Prius C,2001,0.0
1162,HEV,Toyota,Prius C,2002,0.0
1163,HEV,Toyota,Prius C,2003,0.0
1164,HEV,Toyota,Prius C,2004,0.0
1165,HEV,Toyota,Prius C,2005,0.0
1166,HEV,Toyota,Prius C,2006,0.0
1167,HEV,Toyota,Prius C,2007,0.0
1168,HEV,Toyota,Prius C,2008,0.0
1169,HEV,Toyota,Prius C,2009,0.0
1170,HEV,Toyota,Prius C,2010,0.0
1171,HEV,Toyota,Prius C,2011,0.0
1172,HEV,Toyota,Prius C,2012,30838.0
1173,HEV,Toyota,Prius C,2013,41979.0
1174,HEV,Toyota,Prius C,2014,40570.0
1175,HEV,Toyota,Prius C,2015,38484.0
1176,HEV,Toyota,Prius C,2016,20452.0
1177,HEV,Toyota,Prius C,2017,12415.0
1178,HEV,Toyota,Prius V,1999,0.0
1179,HEV,Toyota,Prius V,2000,0.0
1180,HEV,Toyota,Prius V,2001,0.0
1181,HEV,Toyota,Prius V,2002,0.0
1182,HEV,Toyota,Prius V,2003,0.0
1183,HEV,Toyota,Prius V,2004,0.0
1184,HEV,Toyota,Prius V,2005,0.0
1185,HEV,Toyota,Prius V,2006,0.0
1186,HEV,Toyota,Prius V,2007,0.0
1187,HEV,Toyota,Prius V,2008,0.0
1188,HEV,Toyota,Prius V,2009,0.0
1189,HEV,Toyota,Prius V,2010,0.0
1190,HEV,Toyota,Prius V,2011,0.0
1191,HEV,Toyota,Prius V,2012,28450.0
1192,HEV,Toyota,Prius V,2013,34989.0
1193,HEV,Toyota,Prius V,2014,30762.0
1194,HEV,Toyota,Prius V,2015,28290.0
1195,HEV,Toyota,Prius V,2016,14840.0
1196,HEV,Toyota,Prius V,2017,9680.0
1197,HEV,Toyota,RAV4 ,1999,0.0
1198,HEV,Toyota,RAV4 ,2000,0.0
1199,HEV,Toyota,RAV4 ,2001,0.0
1200,HEV,Toyota,RAV4 ,2002,0.0
1201,HEV,Toyota,RAV4 ,2003,0.0
1202,HEV,Toyota,RAV4 ,2004,0.0
1203,HEV,Toyota,RAV4 ,2005,0.0
1204,HEV,Toyota,RAV4 ,2006,0.0
1205,HEV,Toyota,RAV4 ,2007,0.0
1206,HEV,Toyota,RAV4 ,2008,0.0
1207,HEV,Toyota,RAV4 ,2009,0.0
1208,HEV,Toyota,RAV4 ,2010,0.0
1209,HEV,Toyota,RAV4 ,2011,0.0
1210,HEV,Toyota,RAV4 ,2012,0.0
1211,HEV,Toyota,RAV4 ,2013,0.0
1212,HEV,Toyota,RAV4 ,2014,0.0
1213,HEV,Toyota,RAV4 ,2015,1494.0
1214,HEV,Toyota,RAV4 ,2016,45070.0
1215,HEV,Toyota,RAV4 ,2017,50559.0
1216,HEV,Volkswagen,Jetta Hybrid,1999,0.0
1217,HEV,Volkswagen,Jetta Hybrid,2000,0.0
1218,HEV,Volkswagen,Jetta Hybrid,2001,0.0
1219,HEV,Volkswagen,Jetta Hybrid,2002,0.0
1220,HEV,Volkswagen,Jetta Hybrid,2003,0.0
1221,HEV,Volkswagen,Jetta Hybrid,2004,0.0
1222,HEV,Volkswagen,Jetta Hybrid,2005,0.0
1223,HEV,Volkswagen,Jetta Hybrid,2006,0.0
1224,HEV,Volkswagen,Jetta Hybrid,2007,0.0
1225,HEV,Volkswagen,Jetta Hybrid,2008,0.0
1226,HEV,Volkswagen,Jetta Hybrid,2009,0.0
1227,HEV,Volkswagen,Jetta Hybrid,2010,0.0
1228,HEV,Volkswagen,Jetta Hybrid,2011,0.0
1229,HEV,Volkswagen,Jetta Hybrid,2012,162.0
1230,HEV,Volkswagen,Jetta Hybrid,2013,5655.0
1231,HEV,Volkswagen,Jetta Hybrid,2014,1939.0
1232,HEV,Volkswagen,Jetta Hybrid,2015,740.0
1233,HEV,Volkswagen,Jetta Hybrid,2016,709.0
1234,HEV,Volkswagen,Jetta Hybrid,2017,70.0
1235,HEV,Volkswagen,Touareg Hybrid,1999,0.0
1236,HEV,Volkswagen,Touareg Hybrid,2000,0.0
1237,HEV,Volkswagen,Touareg Hybrid,2001,0.0
1238,HEV,Volkswagen,Touareg Hybrid,2002,0.0
1239,HEV,Volkswagen,Touareg Hybrid,2003,0.0
1240,HEV,Volkswagen,Touareg Hybrid,2004,0.0
1241,HEV,Volkswagen,Touareg Hybrid,2005,0.0
1242,HEV,Volkswagen,Touareg Hybrid,2006,0.0
1243,HEV,Volkswagen,Touareg Hybrid,2007,0.0
1244,HEV,Volkswagen,Touareg Hybrid,2008,0.0
1245,HEV,Volkswagen,Touareg Hybrid,2009,0.0
1246,HEV,Volkswagen,Touareg Hybrid,2010,0.0
1247,HEV,Volkswagen,Touareg Hybrid,2011,221.0
1248,HEV,Volkswagen,Touareg Hybrid,2012,250.0
1249,HEV,Volkswagen,Touareg Hybrid,2013,118.0
1250,HEV,Volkswagen,Touareg Hybrid,2014,30.0
1251,HEV,Volkswagen,Touareg Hybrid,2015,16.0
1252,HEV,Volkswagen,Touareg Hybrid,2016,1.0
1253,HEV,Volkswagen,Touareg Hybrid,2017,0.0
1254,PEV,Audi,A3 Plug In,1999,0.0
1255,PEV,Audi,A3 Plug In,2000,0.0
1256,PEV,Audi,A3 Plug In,2001,0.0
1257,PEV,Audi,A3 Plug In,2002,0.0
1258,PEV,Audi,A3 Plug In,2003,0.0
1259,PEV,Audi,A3 Plug In,2004,0.0
1260,PEV,Audi,A3 Plug In,2005,0.0
1261,PEV,Audi,A3 Plug In,2006,0.0
1262,PEV,Audi,A3 Plug In,2007,0.0
1263,PEV,Audi,A3 Plug In,2008,0.0
1264,PEV,Audi,A3 Plug In,2009,0.0
1265,PEV,Audi,A3 Plug In,2010,0.0
1266,PEV,Audi,A3 Plug In,2011,0.0
1267,PEV,Audi,A3 Plug In,2012,0.0
1268,PEV,Audi,A3 Plug In,2013,0.0
1269,PEV,Audi,A3 Plug In,2014,0.0
1270,PEV,Audi,A3 Plug In,2015,0.0
1271,PEV,Audi,A3 Plug In,2016,4280.0
1272,PEV,Audi,A3 Plug In,2017,2877.0
1273,PEV,BMW,3 Series Plug,1999,0.0
1274,PEV,BMW,3 Series Plug,2000,0.0
1275,PEV,BMW,3 Series Plug,2001,0.0
1276,PEV,BMW,3 Series Plug,2002,0.0
1277,PEV,BMW,3 Series Plug,2003,0.0
1278,PEV,BMW,3 Series Plug,2004,0.0
1279,PEV,BMW,3 Series Plug,2005,0.0
1280,PEV,BMW,3 Series Plug,2006,0.0
1281,PEV,BMW,3 Series Plug,2007,0.0
1282,PEV,BMW,3 Series Plug,2008,0.0
1283,PEV,BMW,3 Series Plug,2009,0.0
1284,PEV,BMW,3 Series Plug,2010,0.0
1285,PEV,BMW,3 Series Plug,2011,0.0
1286,PEV,BMW,3 Series Plug,2012,0.0
1287,PEV,BMW,3 Series Plug,2013,0.0
1288,PEV,BMW,3 Series Plug,2014,0.0
1289,PEV,BMW,3 Series Plug,2015,54.0
1290,PEV,BMW,3 Series Plug,2016,851.0
1291,PEV,BMW,3 Series Plug,2017,4141.0
1292,PEV,BMW,5 Series Plug,1999,0.0
1293,PEV,BMW,5 Series Plug,2000,0.0
1294,PEV,BMW,5 Series Plug,2001,0.0
1295,PEV,BMW,5 Series Plug,2002,0.0
1296,PEV,BMW,5 Series Plug,2003,0.0
1297,PEV,BMW,5 Series Plug,2004,0.0
1298,PEV,BMW,5 Series Plug,2005,0.0
1299,PEV,BMW,5 Series Plug,2006,0.0
1300,PEV,BMW,5 Series Plug,2007,0.0
1301,PEV,BMW,5 Series Plug,2008,0.0
1302,PEV,BMW,5 Series Plug,2009,0.0
1303,PEV,BMW,5 Series Plug,2010,0.0
1304,PEV,BMW,5 Series Plug,2011,0.0
1305,PEV,BMW,5 Series Plug,2012,0.0
1306,PEV,BMW,5 Series Plug,2013,0.0
1307,PEV,BMW,5 Series Plug,2014,0.0
1308,PEV,BMW,5 Series Plug,2015,0.0
1309,PEV,BMW,5 Series Plug,2016,0.0
1310,PEV,BMW,5 Series Plug,2017,3759.0
1311,PEV,BMW,7 Series Plug,1999,0.0
1312,PEV,BMW,7 Series Plug,2000,0.0
1313,PEV,BMW,7 Series Plug,2001,0.0
1314,PEV,BMW,7 Series Plug,2002,0.0
1315,PEV,BMW,7 Series Plug,2003,0.0
1316,PEV,BMW,7 Series Plug,2004,0.0
1317,PEV,BMW,7 Series Plug,2005,0.0
1318,PEV,BMW,7 Series Plug,2006,0.0
1319,PEV,BMW,7 Series Plug,2007,0.0
1320,PEV,BMW,7 Series Plug,2008,0.0
1321,PEV,BMW,7 Series Plug,2009,0.0
1322,PEV,BMW,7 Series Plug,2010,0.0
1323,PEV,BMW,7 Series Plug,2011,0.0
1324,PEV,BMW,7 Series Plug,2012,0.0
1325,PEV,BMW,7 Series Plug,2013,0.0
1326,PEV,BMW,7 Series Plug,2014,0.0
1327,PEV,BMW,7 Series Plug,2015,0.0
1328,PEV,BMW,7 Series Plug,2016,23.0
1329,PEV,BMW,7 Series Plug,2017,707.0
1330,PEV,BMW,Active E,1999,0.0
1331,PEV,BMW,Active E,2000,0.0
1332,PEV,BMW,Active E,2001,0.0
1333,PEV,BMW,Active E,2002,0.0
1334,PEV,BMW,Active E,2003,0.0
1335,PEV,BMW,Active E,2004,0.0
1336,PEV,BMW,Active E,2005,0.0
1337,PEV,BMW,Active E,2006,0.0
1338,PEV,BMW,Active E,2007,0.0
1339,PEV,BMW,Active E,2008,0.0
1340,PEV,BMW,Active E,2009,0.0
1341,PEV,BMW,Active E,2010,0.0
1342,PEV,BMW,Active E,2011,0.0
1343,PEV,BMW,Active E,2012,965.0
1344,PEV,BMW,Active E,2013,0.0
1345,PEV,BMW,Active E,2014,0.0
1346,PEV,BMW,Active E,2015,0.0
1347,PEV,BMW,Active E,2016,0.0
1348,PEV,BMW,Active E,2017,0.0
1349,PEV,BMW,X5,1999,0.0
1350,PEV,BMW,X5,2000,0.0
1351,PEV,BMW,X5,2001,0.0
1352,PEV,BMW,X5,2002,0.0
1353,PEV,BMW,X5,2003,0.0
1354,PEV,BMW,X5,2004,0.0
1355,PEV,BMW,X5,2005,0.0
1356,PEV,BMW,X5,2006,0.0
1357,PEV,BMW,X5,2007,0.0
1358,PEV,BMW,X5,2008,0.0
1359,PEV,BMW,X5,2009,0.0
1360,PEV,BMW,X5,2010,0.0
1361,PEV,BMW,X5,2011,0.0
1362,PEV,BMW,X5,2012,0.0
1363,PEV,BMW,X5,2013,0.0
1364,PEV,BMW,X5,2014,0.0
1365,PEV,BMW,X5,2015,774.0
1366,PEV,BMW,X5,2016,5995.0
1367,PEV,BMW,X5,2017,5349.0
1368,PEV,BMW,i3,1999,0.0
1369,PEV,BMW,i3,2000,0.0
1370,PEV,BMW,i3,2001,0.0
1371,PEV,BMW,i3,2002,0.0
1372,PEV,BMW,i3,2003,0.0
1373,PEV,BMW,i3,2004,0.0
1374,PEV,BMW,i3,2005,0.0
1375,PEV,BMW,i3,2006,0.0
1376,PEV,BMW,i3,2007,0.0
1377,PEV,BMW,i3,2008,0.0
1378,PEV,BMW,i3,2009,0.0
1379,PEV,BMW,i3,2010,0.0
1380,PEV,BMW,i3,2011,0.0
1381,PEV,BMW,i3,2012,0.0
1382,PEV,BMW,i3,2013,0.0
1383,PEV,BMW,i3,2014,6092.0
1384,PEV,BMW,i3,2015,11004.0
1385,PEV,BMW,i3,2016,7625.0
1386,PEV,BMW,i3,2017,6276.0
1387,PEV,BMW,i8,1999,0.0
1388,PEV,BMW,i8,2000,0.0
1389,PEV,BMW,i8,2001,0.0
1390,PEV,BMW,i8,2002,0.0
1391,PEV,BMW,i8,2003,0.0
1392,PEV,BMW,i8,2004,0.0
1393,PEV,BMW,i8,2005,0.0
1394,PEV,BMW,i8,2006,0.0
1395,PEV,BMW,i8,2007,0.0
1396,PEV,BMW,i8,2008,0.0
1397,PEV,BMW,i8,2009,0.0
1398,PEV,BMW,i8,2010,0.0
1399,PEV,BMW,i8,2011,0.0
1400,PEV,BMW,i8,2012,0.0
1401,PEV,BMW,i8,2013,0.0
1402,PEV,BMW,i8,2014,555.0
1403,PEV,BMW,i8,2015,2265.0
1404,PEV,BMW,i8,2016,1594.0
1405,PEV,BMW,i8,2017,488.0
1406,PEV,Cadillac,CT6,1999,0.0
1407,PEV,Cadillac,CT6,2000,0.0
1408,PEV,Cadillac,CT6,2001,0.0
1409,PEV,Cadillac,CT6,2002,0.0
1410,PEV,Cadillac,CT6,2003,0.0
1411,PEV,Cadillac,CT6,2004,0.0
1412,PEV,Cadillac,CT6,2005,0.0
1413,PEV,Cadillac,CT6,2006,0.0
1414,PEV,Cadillac,CT6,2007,0.0
1415,PEV,Cadillac,CT6,2008,0.0
1416,PEV,Cadillac,CT6,2009,0.0
1417,PEV,Cadillac,CT6,2010,0.0
1418,PEV,Cadillac,CT6,2011,0.0
1419,PEV,Cadillac,CT6,2012,0.0
1420,PEV,Cadillac,CT6,2013,0.0
1421,PEV,Cadillac,CT6,2014,0.0
1422,PEV,Cadillac,CT6,2015,0.0
1423,PEV,Cadillac,CT6,2016,0.0
1424,PEV,Cadillac,CT6,2017,205.0
1425,PEV,Cadillac,ELR,1999,0.0
1426,PEV,Cadillac,ELR,2000,0.0
1427,PEV,Cadillac,ELR,2001,0.0
1428,PEV,Cadillac,ELR,2002,0.0
1429,PEV,Cadillac,ELR,2003,0.0
1430,PEV,Cadillac,ELR,2004,0.0
1431,PEV,Cadillac,ELR,2005,0.0
1432,PEV,Cadillac,ELR,2006,0.0
1433,PEV,Cadillac,ELR,2007,0.0
1434,PEV,Cadillac,ELR,2008,0.0
1435,PEV,Cadillac,ELR,2009,0.0
1436,PEV,Cadillac,ELR,2010,0.0
1437,PEV,Cadillac,ELR,2011,0.0
1438,PEV,Cadillac,ELR,2012,0.0
1439,PEV,Cadillac,ELR,2013,6.0
1440,PEV,Cadillac,ELR,2014,1310.0
1441,PEV,Cadillac,ELR,2015,1024.0
1442,PEV,Cadillac,ELR,2016,534.0
1443,PEV,Cadillac,ELR,2017,17.0
1444,PEV,Chevrolet,Bolt,1999,0.0
1445,PEV,Chevrolet,Bolt,2000,0.0
1446,PEV,Chevrolet,Bolt,2001,0.0
1447,PEV,Chevrolet,Bolt,2002,0.0
1448,PEV,Chevrolet,Bolt,2003,0.0
1449,PEV,Chevrolet,Bolt,2004,0.0
1450,PEV,Chevrolet,Bolt,2005,0.0
1451,PEV,Chevrolet,Bolt,2006,0.0
1452,PEV,Chevrolet,Bolt,2007,0.0
1453,PEV,Chevrolet,Bolt,2008,0.0
1454,PEV,Chevrolet,Bolt,2009,0.0
1455,PEV,Chevrolet,Bolt,2010,0.0
1456,PEV,Chevrolet,Bolt,2011,0.0
1457,PEV,Chevrolet,Bolt,2012,0.0
1458,PEV,Chevrolet,Bolt,2013,0.0
1459,PEV,Chevrolet,Bolt,2014,0.0
1460,PEV,Chevrolet,Bolt,2015,0.0
1461,PEV,Chevrolet,Bolt,2016,579.0
1462,PEV,Chevrolet,Bolt,2017,23297.0
1463,PEV,Chevrolet,Spark,1999,0.0
1464,PEV,Chevrolet,Spark,2000,0.0
1465,PEV,Chevrolet,Spark,2001,0.0
1466,PEV,Chevrolet,Spark,2002,0.0
1467,PEV,Chevrolet,Spark,2003,0.0
1468,PEV,Chevrolet,Spark,2004,0.0
1469,PEV,Chevrolet,Spark,2005,0.0
1470,PEV,Chevrolet,Spark,2006,0.0
1471,PEV,Chevrolet,Spark,2007,0.0
1472,PEV,Chevrolet,Spark,2008,0.0
1473,PEV,Chevrolet,Spark,2009,0.0
1474,PEV,Chevrolet,Spark,2010,0.0
1475,PEV,Chevrolet,Spark,2011,0.0
1476,PEV,Chevrolet,Spark,2012,0.0
1477,PEV,Chevrolet,Spark,2013,560.0
1478,PEV,Chevrolet,Spark,2014,1145.0
1479,PEV,Chevrolet,Spark,2015,2629.0
1480,PEV,Chevrolet,Spark,2016,3035.0
1481,PEV,Chevrolet,Spark,2017,23.0
1482,PEV,Chevrolet,Volt,1999,0.0
1483,PEV,Chevrolet,Volt,2000,0.0
1484,PEV,Chevrolet,Volt,2001,0.0
1485,PEV,Chevrolet,Volt,2002,0.0
1486,PEV,Chevrolet,Volt,2003,0.0
1487,PEV,Chevrolet,Volt,2004,0.0
1488,PEV,Chevrolet,Volt,2005,0.0
1489,PEV,Chevrolet,Volt,2006,0.0
1490,PEV,Chevrolet,Volt,2007,0.0
1491,PEV,Chevrolet,Volt,2008,0.0
1492,PEV,Chevrolet,Volt,2009,0.0
1493,PEV,Chevrolet,Volt,2010,0.0
1494,PEV,Chevrolet,Volt,2011,7671.0
1495,PEV,Chevrolet,Volt,2012,23461.0
1496,PEV,Chevrolet,Volt,2013,23094.0
1497,PEV,Chevrolet,Volt,2014,18805.0
1498,PEV,Chevrolet,Volt,2015,15393.0
1499,PEV,Chevrolet,Volt,2016,24739.0
1500,PEV,Chevrolet,Volt,2017,20349.0
1501,PEV,Chrysler,Pacifica,1999,0.0
1502,PEV,Chrysler,Pacifica,2000,0.0
1503,PEV,Chrysler,Pacifica,2001,0.0
1504,PEV,Chrysler,Pacifica,2002,0.0
1505,PEV,Chrysler,Pacifica,2003,0.0
1506,PEV,Chrysler,Pacifica,2004,0.0
1507,PEV,Chrysler,Pacifica,2005,0.0
1508,PEV,Chrysler,Pacifica,2006,0.0
1509,PEV,Chrysler,Pacifica,2007,0.0
1510,PEV,Chrysler,Pacifica,2008,0.0
1511,PEV,Chrysler,Pacifica,2009,0.0
1512,PEV,Chrysler,Pacifica,2010,0.0
1513,PEV,Chrysler,Pacifica,2011,0.0
1514,PEV,Chrysler,Pacifica,2012,0.0
1515,PEV,Chrysler,Pacifica,2013,0.0
1516,PEV,Chrysler,Pacifica,2014,0.0
1517,PEV,Chrysler,Pacifica,2015,0.0
1518,PEV,Chrysler,Pacifica,2016,0.0
1519,PEV,Chrysler,Pacifica,2017,2764.0
1520,PEV,Fiat,500E,1999,0.0
1521,PEV,Fiat,500E,2000,0.0
1522,PEV,Fiat,500E,2001,0.0
1523,PEV,Fiat,500E,2002,0.0
1524,PEV,Fiat,500E,2003,0.0
1525,PEV,Fiat,500E,2004,0.0
1526,PEV,Fiat,500E,2005,0.0
1527,PEV,Fiat,500E,2006,0.0
1528,PEV,Fiat,500E,2007,0.0
1529,PEV,Fiat,500E,2008,0.0
1530,PEV,Fiat,500E,2009,0.0
1531,PEV,Fiat,500E,2010,0.0
1532,PEV,Fiat,500E,2011,0.0
1533,PEV,Fiat,500E,2012,0.0
1534,PEV,Fiat,500E,2013,260.0
1535,PEV,Fiat,500E,2014,1503.0
1536,PEV,Fiat,500E,2015,3477.0
1537,PEV,Fiat,500E,2016,3737.0
1538,PEV,Fiat,500E,2017,3336.0
1539,PEV,Ford,C-MAX Energi,1999,0.0
1540,PEV,Ford,C-MAX Energi,2000,0.0
1541,PEV,Ford,C-MAX Energi,2001,0.0
1542,PEV,Ford,C-MAX Energi,2002,0.0
1543,PEV,Ford,C-MAX Energi,2003,0.0
1544,PEV,Ford,C-MAX Energi,2004,0.0
1545,PEV,Ford,C-MAX Energi,2005,0.0
1546,PEV,Ford,C-MAX Energi,2006,0.0
1547,PEV,Ford,C-MAX Energi,2007,0.0
1548,PEV,Ford,C-MAX Energi,2008,0.0
1549,PEV,Ford,C-MAX Energi,2009,0.0
1550,PEV,Ford,C-MAX Energi,2010,0.0
1551,PEV,Ford,C-MAX Energi,2011,0.0
1552,PEV,Ford,C-MAX Energi,2012,2374.0
1553,PEV,Ford,C-MAX Energi,2013,7154.0
1554,PEV,Ford,C-MAX Energi,2014,8433.0
1555,PEV,Ford,C-MAX Energi,2015,7591.0
1556,PEV,Ford,C-MAX Energi,2016,7957.0
1557,PEV,Ford,C-MAX Energi,2017,8140.0
1558,PEV,Ford,Focus EV,1999,0.0
1559,PEV,Ford,Focus EV,2000,0.0
1560,PEV,Ford,Focus EV,2001,0.0
1561,PEV,Ford,Focus EV,2002,0.0
1562,PEV,Ford,Focus EV,2003,0.0
1563,PEV,Ford,Focus EV,2004,0.0
1564,PEV,Ford,Focus EV,2005,0.0
1565,PEV,Ford,Focus EV,2006,0.0
1566,PEV,Ford,Focus EV,2007,0.0
1567,PEV,Ford,Focus EV,2008,0.0
1568,PEV,Ford,Focus EV,2009,0.0
1569,PEV,Ford,Focus EV,2010,0.0
1570,PEV,Ford,Focus EV,2011,0.0
1571,PEV,Ford,Focus EV,2012,683.0
1572,PEV,Ford,Focus EV,2013,1738.0
1573,PEV,Ford,Focus EV,2014,1964.0
1574,PEV,Ford,Focus EV,2015,1582.0
1575,PEV,Ford,Focus EV,2016,901.0
1576,PEV,Ford,Focus EV,2017,1817.0
1577,PEV,Ford,Fusion Energi,1999,0.0
1578,PEV,Ford,Fusion Energi,2000,0.0
1579,PEV,Ford,Fusion Energi,2001,0.0
1580,PEV,Ford,Fusion Energi,2002,0.0
1581,PEV,Ford,Fusion Energi,2003,0.0
1582,PEV,Ford,Fusion Energi,2004,0.0
1583,PEV,Ford,Fusion Energi,2005,0.0
1584,PEV,Ford,Fusion Energi,2006,0.0
